统计时间: 2025-04-25 15:56:50

PROCESS                                PSS(MB)         RSS(MB)         VSS(MB)
===============================================================================
hmi                                       99.2           148.2          4264.1
carplayservice                            97.3            75.9          4560.3
fastrvc                                   60.6            85.0          1810.9
androidauto                               26.7            44.3          1528.0
sourcemgr                                 24.8            33.1          2211.3
weston                                    20.0            33.3           444.1
tunerservice                              16.7            30.3          1192.0
mnld0                                     12.8            10.9           120.0
logsystemservic                           12.8            25.4           557.4
btservice                                 12.3            20.6           866.4
file-explorerse                           10.9            24.2           965.9
systemservice                             10.4            18.4           989.5
mediaservice                               9.6            22.5           798.0
systemd-journal                            9.2            13.4            22.7
pulseaudio                                 7.7            11.5           220.6
devicemgr                                  7.4            14.3           865.0
deviceapp                                  7.3            17.4           722.9
wifiservice                                6.6            20.6           568.9
locationservice                            6.2            13.4           760.1
appmgr                                     5.7            13.2           482.4
devicemanager                              5.5            13.0           543.8
vehicleservice                             4.6            15.4           429.0
cameraservice                              4.6            11.5           614.6
persistservice                             4.5            11.0           396.9
systemd                                    4.1             6.5             9.1
fastrvc_d                                  3.7            16.6            63.4
afm-system-daem                            3.2             7.6            46.6
systemd-udevd                              2.1             3.8            13.0
hostapd                                    2.0             3.7             7.7
cynagoauth-serv                            1.4             3.6             9.8
mdpd                                       1.3             2.9           144.5
security-manage                            1.2             2.8            43.8
login                                      1.1             2.7             5.4
dbus-daemon                                1.0             2.4             6.5
vpud                                       0.8             2.0           170.6
dbus-daemon                                0.8             3.1             5.4
mdnsd                                      0.8             2.4             3.9
sh                                         0.6             2.8             3.7
cynagorad                                  0.4             2.2             4.4
auto_update.sh                             0.4             2.5             3.4
pulseaudio_moni                            0.4             2.4             3.4
udhcpd                                     0.4             0.1             4.7
sh                                         0.4             1.6             3.7
sh                                         0.3             1.4             3.6
sh                                         0.3             1.3             3.6
cal_memory.sh                              0.3             2.3             3.3
tee-supplicant                             0.2             1.3            74.3
6620_launcher                              0.2             0.8            10.3
stp_dump                                   0.2             1.6             2.4
rngd                                       0.1             0.7             2.2

===============================================================================
TOTAL:                                   511.1           807.9         26587.5
统计时间: 2025-04-25 15:59:18

PROCESS                                PSS(MB)         RSS(MB)         VSS(MB)
===============================================================================
hmi                                       99.3           148.3          4264.1
carplayservice                            97.2            76.3          4496.1
fastrvc                                   60.6            85.0          1810.9
androidauto                               26.7            44.3          1528.0
sourcemgr                                 24.8            33.1          2211.3
weston                                    20.0            33.3           444.1
tunerservice                              16.7            30.3          1192.0
logsystemservic                           14.5            27.2           557.4
mnld0                                     12.8            10.9           120.0
btservice                                 12.3            20.6           866.4
systemd-journal                           11.2            16.1            22.7
file-explorerse                           10.9            24.2           965.9
systemservice                             10.5            18.4           989.5
mediaservice                               9.6            22.5           798.0
pulseaudio                                 7.7            11.5           220.6
devicemgr                                  7.4            14.3           865.0
deviceapp                                  7.3            17.4           722.9
wifiservice                                6.6            20.6           568.9
locationservice                            6.2            13.4           760.1
appmgr                                     5.7            13.2           482.4
devicemanager                              5.5            13.0           543.8
vehicleservice                             4.6            15.4           429.0
cameraservice                              4.6            11.5           614.6
persistservice                             4.5            11.0           396.9
systemd                                    4.1             6.5             9.1
fastrvc_d                                  3.7            16.6            63.4
afm-system-daem                            3.2             7.6            46.6
systemd-udevd                              2.1             3.8            13.0
hostapd                                    2.0             3.7             7.7
cynagoauth-serv                            1.4             3.6             9.8
mdpd                                       1.3             2.9           144.5
security-manage                            1.2             2.8            43.8
login                                      1.1             2.7             5.4
dbus-daemon                                1.0             2.4             6.5
vpud                                       0.8             2.0           170.6
dbus-daemon                                0.8             3.1             5.4
mdnsd                                      0.8             2.4             3.9
sh                                         0.8             2.8             3.7
cynagorad                                  0.4             2.2             4.4
auto_update.sh                             0.4             2.5             3.4
pulseaudio_moni                            0.4             2.4             3.4
