Mode    Mapping                                                           Kbytes    PSS  Dirty
----------------------------------------------------------------------------------------------
0       ---p [ anon ]                                                    3931856      0      0
0       rw-p [ anon ]                                                    1214920 255656 255656
0       r--p /app/res/font/BabelStoneHan.ttf                               50756   3044      0
0       rw-s /dev/kgsl-3d0                                                 44120  31228  31228
0       r--p /app/res/font/spd.ttf                                         24720  12060      0
0       rw-p [heap]                                                        24564  24332  24332
0       rw-s /dmabuf:                                                      21728      0      0
0       r-xp /usr/lib/libGLESv2_adreno.so                                  21568   4216      0
0       r-xp /app/bin/hmi                                                  10720   8024      0
0       r-xp /lib/libavcodec.so.58.54.100                                   7192    952      0
0       r--p /usr/lib/locale/locale-archive                                 6700    150      0
0       r-xp /usr/lib/libprotobuf.so.22.0.4                                 2900    130      0
0       r-xp /usr/lib/libcrypto.so.1.1                                      2432     28      0
0       rw-s /SYSV002bbe7f                                                  2048     10      0
0       r-xp /usr/lib/libgio-2.0.so.0.6200.6                                1988     20      0
0       r-xp /usr/lib/libstdc++.so.6.0.29                                   1952     81      0
0       r-xp /lib/libavfilter.so.7.57.100                                   1752    156      0
0       r-xp /usr/lib/libgsl.so                                             1696     69      0
0       r-xp /app/lib/libFantasy.so.0.0.0                                   1520    919      0
0       r-xp /usr/lib/libsamplerate.so.0.1.9                                1452      0      0
0       r-xp /lib/libc-2.31.so                                              1412     30      0
0       r-xp /usr/lib/libsqlite3.so.0.8.6                                   1384    102      0
0       r-xp /usr/lib/libgstreamer-1.0.so.0.1603.0                          1288    271      0
0       r--p /app/res/font/BabelStoneRoman.ttf                              1204    216      0
0       r-xp /usr/lib/libglib-2.0.so.0.6200.6                               1204    146      0
0       rw-s /SYSV012bbe7f                                                  1024      0      0
0       r-xp /app/lib/libradio.so.1.0.0                                     1016    198      0
0       r-xp /usr/lib/libasound.so.2.0.0                                     976     13      0
0       r-xp /app/lib/libbt.so.1.0.0                                         972     93      0
0       rw-s /SYSVade01112                                                   928     18      0
0       rw-s /SYSV022bbe7f                                                   880     12      0
0       r-xp /app/lib/libfdbus.so                                            880     36      0
0       r--p /app/res/font/NotoEmoji-Regular.ttf                             868    128      0
0       r-xp /app/lib/libipod.so.1.0.0                                       868    250      0
0       r-xp /lib/libavformat.so.58.29.100                                   840    176      0
0       r-xp /usr/lib/libgstvideo-1.0.so.0.1603.0                            688    183      0
0       r-xp /usr/lib/libfreetype.so.6.17.1                                  672    535      0
0       r--p /app/res/font/NotoSans-Regular.ttf                              616    324      0
0       r-xp /lib/libm-2.31.so                                               600     65      0
0       rw-p /app/lib/libpinyin.so.1.0.0                                     580     22     12
0       r-xp /app/lib/libspdlog.so.1.14.1                                    580     34      0
0       r-xp /app/lib/libsystem.so.1.0.0                                     572     50      0
0       r-xp /usr/lib/gstreamer-1.0/libgstplayback.so                        560    186      0
0       r-xp /usr/lib/libvorbisenc.so.2.0.11                                 556     25      0
0       r-xp /usr/lib/liborc-0.4.so.0.25.0                                   540     20      0
0       r-xp /app/lib/libaudio.so.1.0.0                                      528     44      0
0       rw-s /SYSV662bbe88                                                   504     17      0
0       rw-s /SYSV072bbe7f                                                   500     12      0
0       r-xp /usr/lib/libgstaudio-1.0.so.0.1603.0                            472    135      0
0       r-xp /app/lib/libreflectcpp.so.0.17.0                                468     10      0
0       r-xp /usr/lib/libgstbase-1.0.so.0.1603.0                             464    138      0
0       r-xp /app/lib/libwifi.so.1.0.0                                       448     99      0
0       r--p /app/bin/hmi                                                    436    436    436
0       r-xp /app/lib/libtiff.so.3.9.4                                       416     47      0
0       r-xp /app/lib/libdeviceclient.so.1.0.0                               404     65      0
0       r-xp /lib/libpcre.so.1.2.12                                          396     59      0
0       r-xp /app/lib/libjasper.so.1.900.1                                   388    233      0
0       r-xp /app/lib/libjpeg.so.1.0.8                                       380    303      0
0       r-xp /app/lib/libcximage.so.7.0.0                                    380    252      0
0       r-xp /usr/lib/gstreamer-1.0/libgstcoreelements.so                    376    125      0
0       r-xp /lib/libmount.so.1.1.0                                          376      4      0
0       r-xp /app/lib/liblinux_hal.so.0.0.1                                  368     30      0
