3062: /app/bin/hmi 0
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
000000557ac22000   10720    8024       0       0  r-xp  /app/bin/hmi
000000557b6aa000     436     436     436       0  r--p  /app/bin/hmi
000000557b717000       8       8       8       0  rw-p  /app/bin/hmi
000000557b719000      44      44      44       0  rw-p    [ anon ]
000000558b800000   24564   24332   24332       0  rw-p  [heap]
0000007e40000000   64788   63904   63904       0  rw-p    [ anon ]
0000007e43f45000     748       0       0       0  ---p    [ anon ]
0000007e48000000    1424    1424    1424       0  rw-p    [ anon ]
0000007e48164000   64112       0       0       0  ---p    [ anon ]
0000007e4caaa000       4       0       0       0  ---p    [ anon ]
0000007e4caab000    8192      24      24       0  rw-p    [ anon ]
0000007e4d2ab000       4       0       0       0  ---p    [ anon ]
0000007e4d2ac000    8192      24      24       0  rw-p    [ anon ]
0000007e4daac000       4       0       0       0  ---p    [ anon ]
0000007e4daad000    8192      12      12       0  rw-p    [ anon ]
0000007e4f2af000    5440    5400    5400       0  rw-s  /dev/kgsl-3d0
0000007e4f7ff000       4       0       0       0  ---p    [ anon ]
0000007e4f800000    8192      24      24       0  rw-p    [ anon ]
0000007e50000000     192     192     192       0  rw-p    [ anon ]
0000007e50030000   65344       0       0       0  ---p    [ anon ]
0000007e54000000   24152   13680   13680       0  rw-p    [ anon ]
0000007e55796000   41384       0       0       0  ---p    [ anon ]
0000007e58000000     192     192     192       0  rw-p    [ anon ]
0000007e58030000   65344       0       0       0  ---p    [ anon ]
0000007e5c000000    2624    2624    2624       0  rw-p    [ anon ]
0000007e5c290000   62912       0       0       0  ---p    [ anon ]
0000007e60000000     432     388     388       0  rw-p    [ anon ]
0000007e6006c000   65104       0       0       0  ---p    [ anon ]
0000007e64000000    1412    1412    1412       0  rw-p    [ anon ]
0000007e64161000   64124       0       0       0  ---p    [ anon ]
0000007e68399000     128      80      80       0  rw-s  /dev/kgsl-3d0
0000007e683b9000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e683d9000     128      80      80       0  rw-s  /dev/kgsl-3d0
0000007e683f9000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e68419000     128      80      80       0  rw-s  /dev/kgsl-3d0
0000007e68439000       4       0       0       0  ---p    [ anon ]
