3791: mediaservice 0 0
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000005569a27000     364     356       0       0  r-xp  /app/bin/mediaservice
0000005569a91000      16      16      16       0  r--p  /app/bin/mediaservice
0000005569a95000       4       4       4       0  rw-p  /app/bin/mediaservice
0000005569a96000       4       4       4       0  rw-p    [ anon ]
000000556d0be000   53288   45512   45512       0  rw-p  [heap]
0000007f7d6b2000   65536      48      48       0  rw-s  /memfd:pulseaudio
0000007f816b2000       4       0       0       0  ---p    [ anon ]
0000007f816b3000    8192      12      12       0  rw-p    [ anon ]
0000007f82eb5000      28      28       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstaudioresample.so
0000007f82ebc000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstaudioresample.so
0000007f82ecb000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstaudioresample.so
0000007f82ecc000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstaudioresample.so
0000007f82ecd000      24      24       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstaudioconvert.so
0000007f82ed3000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstaudioconvert.so
0000007f82ee2000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstaudioconvert.so
0000007f82ee3000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstaudioconvert.so
0000007f84e5a000       4       0       0       0  ---p    [ anon ]
0000007f84e5b000    8192      28      28       0  rw-p    [ anon ]
0000007f85e5c000       4       0       0       0  ---p    [ anon ]
0000007f85e5d000    8192      28      28       0  rw-p    [ anon ]
0000007f8665d000       4       0       0       0  ---p    [ anon ]
0000007f8665e000    8192       8       8       0  rw-p    [ anon ]
0000007f86e5e000      76      23       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstsubparse.so
0000007f86e71000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstsubparse.so
0000007f86e81000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstsubparse.so
0000007f86e82000       8       8       8       0  rw-p  /usr/lib/gstreamer-1.0/libgstsubparse.so
0000007f86e84000      52      17       0       0  r-xp  /usr/lib/libgstriff-1.0.so.0.1603.0
0000007f86e91000      60       0       0       0  ---p  /usr/lib/libgstriff-1.0.so.0.1603.0
0000007f86ea0000       4       4       4       0  r--p  /usr/lib/libgstriff-1.0.so.0.1603.0
0000007f86ea1000       4       4       4       0  rw-p  /usr/lib/libgstriff-1.0.so.0.1603.0
0000007f86ea2000      56      18       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstwavparse.so
0000007f86eb0000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstwavparse.so
0000007f86ec0000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstwavparse.so
0000007f86ec1000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstwavparse.so
0000007f86ec2000      64      21       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstflac.so
0000007f86ed2000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstflac.so
0000007f86ee2000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstflac.so
0000007f86ee3000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstflac.so
0000007f86ee4000     136     136       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstpulseaudio.so
0000007f86f06000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstpulseaudio.so
0000007f86f15000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstpulseaudio.so
